town,AgAsslt,AllOthr,Arson,Burgl,Curfew,DUI,Disord,DrugTot,Embezzl,Family,Forgery,Fraud,Gamble,Larceny,Liquor,MVTheft,Murder,NgMansl,Prostit,Rape,Robbery,Runaway,SexOff,SmAsslt,StlProp,Vagrncy,Vandal,Weapons,violent_crime,non_violent_crime
Index,1266.0,7153.0,2388.0,1547.0,7434.0,6032.0,6593.0,5191.0,3509.0,5752.0,2948.0,3229.0,5471.0,1827.0,6312.0,2107.0,145.0,425.0,4630.0,706.0,986.0,7714.0,4911.0,2668.0,3789.0,6873.0,4070.0,4350.0,8855.0,108760.0
Connecticut,3130.0,30344.0,132.0,2873.0,23.0,8838.0,13284.0,13981.0,167.0,1460.0,825.0,1316.0,61.0,14388.0,1010.0,618.0,125.0,5.0,379.0,258.0,1437.0,1.0,611.0,23604.0,437.0,42.0,2348.0,1290.0,24603.0,119857.0
Andover,0.0,2.0,0.0,2.0,0.0,5.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,4.0,0.0,0.0,3.0,0.0,4.0,24.0
Ansonia_PD,2.0,301.0,0.0,13.0,0.0,23.0,59.0,86.0,0.0,12.0,1.0,3.0,0.0,88.0,0.0,2.0,1.0,0.0,0.0,0.0,8.0,0.0,1.0,143.0,0.0,0.0,7.0,4.0,145.0,752.0
Ashford_CSP,2.0,9.0,0.0,5.0,0.0,13.0,2.0,6.0,0.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,11.0,0.0,0.0,0.0,1.0,11.0,52.0
Avon_PD,0.0,25.0,0.0,11.0,0.0,32.0,23.0,25.0,0.0,2.0,2.0,2.0,0.0,19.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,17.0,0.0,0.0,1.0,1.0,19.0,172.0
Barkhamsted_CSP,0.0,10.0,0.0,3.0,0.0,11.0,2.0,8.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,1.0,3.0,12.0,54.0
Beacon_Falls_CSP,2.0,10.0,0.0,4.0,0.0,8.0,8.0,2.0,0.0,1.0,1.0,2.0,0.0,8.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,34.0,4.0,0.0,3.0,3.0,35.0,90.0
Berlin_PD,5.0,102.0,0.0,13.0,0.0,90.0,7.0,33.0,0.0,2.0,2.0,1.0,0.0,46.0,8.0,2.0,0.0,0.0,0.0,2.0,3.0,0.0,4.0,96.0,6.0,0.0,3.0,2.0,102.0,422.0
Bethany_CSP,0.0,28.0,0.0,2.0,0.0,5.0,1.0,0.0,0.0,0.0,2.0,2.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,2.0,0.0,2.0,0.0,18.0,66.0
Bethel_PD,0.0,202.0,0.0,14.0,0.0,52.0,53.0,23.0,1.0,8.0,3.0,4.0,0.0,50.0,5.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,25.0,2.0,0.0,5.0,3.0,27.0,454.0
Bethlehem_CSP,1.0,12.0,0.0,2.0,0.0,5.0,0.0,7.0,1.0,1.0,1.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,4.0,44.0
Bloomfield_PD,8.0,66.0,0.0,10.0,0.0,11.0,4.0,56.0,0.0,0.0,0.0,3.0,0.0,101.0,0.0,2.0,0.0,0.0,0.0,1.0,11.0,0.0,3.0,44.0,0.0,0.0,1.0,7.0,48.0,320.0
Bolton_CSP,1.0,9.0,0.0,2.0,0.0,7.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,11.0,36.0
Bozrah_CSP,1.0,5.0,0.0,2.0,0.0,10.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,7.0,0.0,0.0,1.0,0.0,8.0,30.0
Branford_PD,12.0,151.0,0.0,33.0,0.0,50.0,48.0,49.0,0.0,50.0,7.0,9.0,0.0,157.0,6.0,6.0,0.0,0.0,0.0,0.0,6.0,0.0,2.0,67.0,1.0,0.0,10.0,5.0,69.0,657.0
Bridgeport_PD,302.0,929.0,7.0,132.0,0.0,36.0,454.0,556.0,9.0,36.0,35.0,53.0,0.0,259.0,7.0,88.0,16.0,1.0,9.0,25.0,143.0,0.0,27.0,1207.0,22.0,4.0,128.0,126.0,1276.0,4309.0
Bridgewater_CSP,2.0,1.0,0.0,2.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,10.0
Bristol_PD,32.0,365.0,2.0,59.0,0.0,109.0,125.0,161.0,1.0,46.0,11.0,14.0,0.0,214.0,1.0,12.0,0.0,0.0,0.0,2.0,18.0,0.0,5.0,284.0,3.0,0.0,26.0,5.0,291.0,1463.0
Brookfield_PD,3.0,70.0,0.0,3.0,4.0,24.0,0.0,20.0,1.0,1.0,4.0,5.0,0.0,41.0,5.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,43.0,0.0,0.0,2.0,0.0,43.0,226.0
Brooklyn_CSP,2.0,26.0,1.0,27.0,0.0,15.0,16.0,13.0,0.0,2.0,0.0,7.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,37.0,0.0,0.0,11.0,3.0,41.0,174.0
Burlington_CSP,0.0,16.0,0.0,7.0,0.0,19.0,10.0,12.0,0.0,1.0,1.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,12.0,0.0,0.0,5.0,4.0,14.0,93.0
Canaan_CSP,0.0,5.0,0.0,0.0,0.0,4.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,20.0
Canterbury_CSP,0.0,8.0,0.0,7.0,0.0,4.0,1.0,0.0,0.0,2.0,1.0,1.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,13.0,0.0,0.0,1.0,1.0,14.0,50.0
Canton_PD,1.0,24.0,0.0,9.0,0.0,10.0,16.0,10.0,0.0,0.0,0.0,4.0,0.0,34.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,3.0,0.0,4.0,115.0
Chaplin_CSP,2.0,8.0,0.0,0.0,0.0,4.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,8.0,25.0
Cheshire_PD,5.0,91.0,0.0,23.0,0.0,87.0,78.0,32.0,1.0,12.0,2.0,1.0,0.0,27.0,34.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,18.0,3.0,1.0,7.0,3.0,20.0,425.0
Chester_CSP,1.0,4.0,0.0,1.0,0.0,14.0,0.0,4.0,0.0,0.0,0.0,1.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,7.0,39.0
Clinton_PD,7.0,179.0,0.0,25.0,1.0,50.0,26.0,60.0,1.0,13.0,6.0,6.0,0.0,76.0,5.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,6.0,125.0,1.0,1.0,5.0,2.0,132.0,590.0
Colchester_CSP,1.0,127.0,2.0,5.0,0.0,70.0,16.0,30.0,0.0,4.0,2.0,1.0,0.0,31.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,3.0,49.0,1.0,0.0,5.0,3.0,53.0,351.0
Colebrook_CSP,0.0,0.0,0.0,4.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,4.0,11.0
Columbia_CSP,0.0,5.0,0.0,0.0,0.0,9.0,6.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,8.0,0.0,0.0,0.0,0.0,10.0,33.0
Cornwall_CSP,1.0,9.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0
Coventry_PD,3.0,24.0,1.0,4.0,0.0,24.0,16.0,12.0,1.0,1.0,0.0,4.0,0.0,13.0,1.0,1.0,0.0,0.0,2.0,1.0,2.0,0.0,2.0,39.0,0.0,0.0,2.0,0.0,42.0,150.0
Cromwell_PD,0.0,126.0,0.0,3.0,0.0,22.0,26.0,24.0,1.0,7.0,2.0,3.0,0.0,79.0,7.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,97.0,0.0,0.0,2.0,1.0,98.0,402.0
Danbury_PD,46.0,710.0,1.0,42.0,0.0,121.0,371.0,219.0,12.0,0.0,12.0,4.0,0.0,436.0,27.0,11.0,1.0,0.0,0.0,3.0,22.0,0.0,7.0,234.0,0.0,0.0,0.0,27.0,245.0,2260.0
Darien_PD,8.0,61.0,1.0,8.0,0.0,46.0,3.0,35.0,1.0,2.0,4.0,3.0,0.0,28.0,9.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,33.0,5.0,0.0,1.0,0.0,34.0,243.0
Deep_River_CSP,5.0,16.0,0.0,2.0,0.0,17.0,3.0,12.0,0.0,0.0,0.0,4.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,1.0,0.0,1.0,3.0,13.0,79.0
Derby_PD,7.0,84.0,0.0,12.0,0.0,33.0,51.0,109.0,0.0,6.0,2.0,3.0,0.0,62.0,2.0,6.0,0.0,0.0,0.0,0.0,5.0,0.0,2.0,81.0,0.0,0.0,5.0,1.0,83.0,464.0
Durham_CSP,2.0,6.0,0.0,2.0,0.0,13.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,12.0,1.0,0.0,1.0,0.0,13.0,53.0
Eastford_CSP,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,7.0
East_Granby_CSP,0.0,4.0,0.0,0.0,0.0,7.0,1.0,2.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,6.0,22.0
East_Haddam_CSP,0.0,17.0,0.0,21.0,0.0,30.0,5.0,4.0,0.0,4.0,0.0,1.0,0.0,18.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,33.0,2.0,0.0,4.0,2.0,34.0,143.0
East_Hampton_PD,5.0,41.0,3.0,4.0,1.0,64.0,22.0,20.0,0.0,6.0,0.0,1.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.0,0.0,0.0,9.0,1.0,44.0,241.0
East_Hartford_PD,47.0,290.0,4.0,64.0,1.0,49.0,51.0,217.0,4.0,5.0,7.0,23.0,0.0,204.0,10.0,10.0,0.0,0.0,1.0,9.0,34.0,0.0,8.0,717.0,19.0,1.0,30.0,15.0,734.0,1773.0
East_Haven_PD,5.0,117.0,1.0,30.0,0.0,24.0,118.0,37.0,0.0,25.0,5.0,19.0,1.0,118.0,0.0,9.0,0.0,0.0,0.0,0.0,5.0,0.0,7.0,68.0,0.0,0.0,9.0,5.0,75.0,598.0
East_Lyme_CSP,6.0,41.0,1.0,7.0,0.0,26.0,6.0,20.0,1.0,0.0,2.0,4.0,0.0,39.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,44.0,4.0,0.0,10.0,2.0,48.0,215.0
