town,AgAsslt,AllOthr,Arson,Burgl,Curfew,DUI,Disord,DrugTot,Embezzl,Family,Forgery,Fraud,Gamble,Larceny,Liquor,MVTheft,Murder,NgMansl,Prostit,Rape,Robbery,Runaway,SexOff,SmAsslt,StlProp,Vagrncy,Vandal,Weapons,violent_crime,non_violent_crime
STAT_INDEX,1266.0,7153.0,2388.0,1547.0,7434.0,6032.0,6593.0,5191.0,3509.0,5752.0,2948.0,3229.0,5471.0,1827.0,6312.0,2107.0,145.0,425.0,4630.0,706.0,986.0,7714.0,4911.0,2668.0,3789.0,6873.0,4070.0,4350.0,8855.0,108760.0
Connecticut,2098.0,25509.0,78.0,1917.0,1.0,7298.0,10911.0,8430.0,157.0,1350.0,584.0,800.0,11.0,12350.0,230.0,599.0,87.0,9.0,252.0,180.0,1113.0,2.0,428.0,16889.0,240.0,30.0,1852.0,995.0,17593.0,92302.0
Andover,0.0,4.0,0.0,0.0,0.0,8.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,7.0,0.0,0.0,0.0,0.0,9.0,27.0
Ansonia,6.0,363.0,0.0,8.0,0.0,34.0,98.0,64.0,0.0,14.0,5.0,5.0,0.0,65.0,0.0,2.0,0.0,0.0,0.0,1.0,3.0,0.0,1.0,159.0,0.0,0.0,10.0,10.0,161.0,842.0
Ashford,2.0,9.0,0.0,2.0,0.0,9.0,4.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,2.0,0.0,5.0,34.0
Avon,0.0,10.0,0.0,1.0,0.0,21.0,10.0,8.0,0.0,4.0,3.0,4.0,0.0,48.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,10.0,0.0,0.0,1.0,1.0,12.0,125.0
Barkhamsted,0.0,1.0,0.0,2.0,0.0,7.0,8.0,2.0,0.0,1.0,1.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,1.0,0.0,7.0,34.0
Beacon_Falls,1.0,7.0,0.0,0.0,0.0,13.0,12.0,3.0,0.0,4.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,1.0,0.0,5.0,48.0
Berlin,6.0,64.0,1.0,12.0,0.0,26.0,12.0,24.0,0.0,2.0,6.0,7.0,0.0,65.0,2.0,5.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,64.0,0.0,0.0,4.0,2.0,64.0,297.0
Bethany,0.0,32.0,0.0,1.0,0.0,11.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,6.0,56.0
