Year,Town_Code,town,2010_Census_Units,Government_Assisted,Tenant_Rental_Assistance,_Single_Family_CHFA/_USDA_Mortgages,Deed_Restricted_Units,Total_Assisted_Units,Percent_Affordable,AgAsslt,AllOthr,Arson,Burgl,Curfew,DUI,Disord,DrugTot,Embezzl,Family,Forgery,Fraud,Gamble,Larceny,Liquor,MVTheft,Murder,NgMansl,Prostit,Rape,Robbery,Runaway,SexOff,SmAsslt,StlProp,Vagrncy,Vandal,Weapons,violent_crime,non_violent_crime
2017,1,Andover,1317,18.0,0,24,0,42,3.19,0.0,3.0,0.0,0.0,0.0,7.0,4.0,2.0,0.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,1.0,0.0,6.0,27.0
2017,2,Ansonia,8148,347.0,696,118,9,1170,14.36,7.0,336.0,0.0,13.0,0.0,24.0,103.0,41.0,1.0,7.0,8.0,2.0,0.0,67.0,0.0,8.0,0.0,0.0,0.0,1.0,4.0,0.0,1.0,166.0,0.0,0.0,8.0,18.0,168.0,808.0
2017,3,Ashford,1903,32.0,1,32,0,65,3.42,1.0,2.0,0.0,1.0,0.0,6.0,6.0,8.0,0.0,2.0,0.0,0.0,0.0,5.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,7.0,0.0,0.0,2.0,1.0,8.0,42.0
2017,4,Avon,7389,244.0,10,33,0,287,3.88,0.0,3.0,0.0,1.0,0.0,23.0,16.0,14.0,2.0,0.0,4.0,4.0,0.0,19.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,14.0,0.0,0.0,1.0,3.0,15.0,108.0
2017,5,Barkhamsted,1589,0.0,7,16,0,23,1.45,0.0,1.0,0.0,0.0,0.0,4.0,4.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.0,0.0,0.0,0.0,0.0,7.0,20.0
2017,6,Beacon Falls,2509,0.0,3,37,0,40,1.59,1.0,2.0,0.0,1.0,0.0,13.0,12.0,2.0,0.0,1.0,0.0,1.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,9.0,0.0,0.0,3.0,0.0,11.0,50.0
2017,7,Berlin,8140,556.0,53,110,10,729,8.96,9.0,81.0,0.0,9.0,0.0,34.0,13.0,23.0,5.0,0.0,3.0,7.0,0.0,53.0,2.0,3.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,47.0,1.0,0.0,10.0,3.0,47.0,297.0
2017,8,Bethany,2044,0.0,2,9,1,12,0.59,0.0,56.0,0.0,2.0,0.0,12.0,3.0,2.0,2.0,1.0,0.0,4.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,2.0,0.0,7.0,101.0
2017,9,Bethel,7310,152.0,26,117,69,364,4.98,2.0,210.0,0.0,5.0,0.0,26.0,50.0,19.0,0.0,10.0,5.0,6.0,0.0,31.0,1.0,1.0,0.0,0.0,3.0,0.0,1.0,0.0,2.0,28.0,0.0,0.0,5.0,5.0,30.0,408.0
2017,10,Bethlehem,1575,24.0,0,5,0,29,1.84,0.0,7.0,0.0,1.0,0.0,4.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,5.0,27.0
2017,11,Bloomfield,9019,558.0,88,315,0,961,10.66,14.0,119.0,1.0,6.0,0.0,46.0,16.0,39.0,0.0,0.0,1.0,9.0,0.0,84.0,0.0,11.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,157.0,0.0,0.0,6.0,16.0,158.0,514.0
2017,12,Bolton,2015,0.0,2,26,0,28,1.39,1.0,6.0,0.0,0.0,0.0,7.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,28.0
2017,13,Bozrah,1059,0.0,4,32,0,36,3.4,0.0,4.0,0.0,2.0,0.0,7.0,5.0,0.0,0.0,3.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,6.0,31.0
2017,14,Branford,13972,243.0,65,144,0,452,3.24,7.0,130.0,0.0,4.0,0.0,75.0,29.0,33.0,0.0,77.0,4.0,5.0,0.0,168.0,1.0,8.0,0.0,0.0,0.0,0.0,5.0,0.0,4.0,94.0,0.0,0.0,14.0,4.0,98.0,655.0
2017,15,Bridgeport,57012,6311.0,4259,891,19,11480,20.14,282.0,722.0,6.0,52.0,0.0,20.0,456.0,407.0,8.0,20.0,10.0,43.0,0.0,162.0,0.0,146.0,24.0,1.0,0.0,14.0,101.0,0.0,19.0,1021.0,12.0,0.0,117.0,140.0,1079.0,3501.0
2017,16,Bridgewater,881,0.0,0,3,0,3,0.34,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,3.0,6.0
2017,17,Bristol,27011,1908.0,868,996,0,3772,13.96,15.0,370.0,1.0,24.0,0.0,205.0,96.0,129.0,1.0,40.0,6.0,14.0,0.0,193.0,0.0,15.0,0.0,0.0,0.0,2.0,9.0,0.0,12.0,495.0,0.0,0.0,39.0,10.0,509.0,1661.0
2017,18,Brookfield,6562,155.0,24,81,77,337,5.14,2.0,61.0,0.0,3.0,0.0,29.0,0.0,30.0,1.0,4.0,2.0,4.0,0.0,24.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,39.0,0.0,0.0,1.0,1.0,40.0,202.0
2017,19,Brooklyn,3235,231.0,10,100,0,341,10.54,2.0,22.0,0.0,1.0,0.0,15.0,15.0,11.0,0.0,9.0,0.0,0.0,0.0,22.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,22.0,0.0,0.0,7.0,0.0,23.0,125.0
2017,20,Burlington,3389,27.0,0,36,0,63,1.86,1.0,10.0,0.0,5.0,0.0,13.0,16.0,9.0,0.0,2.0,0.0,1.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,8.0,0.0,0.0,2.0,2.0,10.0,75.0
2017,21,Canaan,779,35.0,4,13,1,53,6.8,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,8.0,0.0,0.0,1.0,0.0,8.0,16.0
2017,22,Canterbury,2043,76.0,1,66,0,143,7.0,0.0,6.0,0.0,3.0,0.0,9.0,4.0,1.0,0.0,1.0,0.0,5.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,2.0,8.0,42.0
2017,23,Canton,4339,211.0,16,50,32,309,7.12,1.0,7.0,0.0,2.0,0.0,8.0,12.0,3.0,0.0,1.0,1.0,2.0,0.0,12.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,51.0
2017,24,Chaplin,988,0.0,0,35,0,35,3.54,2.0,2.0,0.0,1.0,0.0,7.0,4.0,2.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,8.0,26.0
2017,25,Cheshire,10424,258.0,20,76,17,371,3.56,2.0,64.0,0.0,4.0,0.0,46.0,67.0,9.0,0.0,0.0,1.0,4.0,0.0,28.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,58.0,1.0,0.0,9.0,1.0,59.0,296.0
